Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
7.24E-05,0.08753826
0.000143586,4.448491732
0.000194756,24.30986923
0.00022592,43.86848354
0.000262361,63.7515091
0.000320934,83.63128716
0.000342678,84.53192965
0.000410737,98.22305237
0.000490593,118.09
0.000529528,128.9174716
0.000645145,148.7499184
0.000669906,149.0715688
0.000824694,168.9379598
0.001013574,188.7064537
0.00101671,188.8450428
0.00130365,207.7157656
0.00169959,227.3744034
0.00211443,241.6754578
0.00259059,254.8634509
0.003406121,271.8776872
0.004145448,284.5848683
0.005452415,302.1592916
0.006729352,316.2096342
0.008632363,333.190744
0.010891724,349.6066038
0.013800564,366.7296068
0.017400576,384.1509461
0.02206847,402.7675775
0.027823594,422.1405734
0.034458049,441.6472115
0.04178732,461.039695
0.044868541,468.661881
0.053004415,487.8835366
0.054801326,491.9567727
0.065061032,514.1039896
0.071749888,528.2637419
0.081785963,551.2667698
0.088453998,568.1409809
0.099542319,591.8859035
0.114468276,610.1018687
0.139194114,629.6962073
0.155310622,640.70694
0.181102132,660.5313581
0.192015037,686.0379762
0.206189304,712.0552605
0.246715808,720.2126766
0.302737488,727.348092
0.372465882,733.9154027
0.474121004,740.9614942
0.537798314,744.4696542
0.6024543,747.5405809
0.643579302,749.3566697
0.684178419,751.0499752
0.724252702,752.7013834
0.76441783,754.3729568
0.790465116,755.4935687
0.815945002,756.6426051
0.841290606,757.8866495
0.866639427,759.2780631
0.913918632,762.7669094
0.941891352,766.2296465
0.965929407,772.2981292
