Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.000145,42.426
0.000228,66.6694
0.000249,72.7303
0.00029,84.852
0.000311,90.9128
0.000353,103.035
0.000436,127.278
0.003921,145.501
0.004004,169.7449999
0.004149,212.171
0.004232,236.414
0.004315,260.6579999
0.00778,272.8199999
0.007842,291.003
0.011307,303.166
0.014793,321.3890001
0.01832,351.734
0.021785,363.897
0.02527,382.12
0.028735,394.2830001
0.03222,412.507
0.035706,430.7300001
0.039171,442.8929999
0.042615,448.995
0.0461,467.218
0.049565,479.381
0.05303,491.543
0.053071,503.665
0.056536,515.828
0.05998,521.93
0.066868,534.133
0.070333,546.296
0.077242,564.56
0.080686,570.662
0.084171,588.886
0.087615,594.988
0.091101,613.2110001
0.09803,637.5359999
0.104939,655.8009999
0.115333,692.289
0.129089,710.635
0.132595,734.92
0.139525,759.2450001
0.149878,783.611
0.16023,807.9770001
0.17743,832.426
0.191247,868.9550001
0.205003,887.301
0.215335,905.606
0.222223,917.81
0.225709,936.033
0.232617,954.298
0.236144,984.643
0.239651,1008.93
0.239734,1033.17
0.239816,1057.41
0.243302,1075.64
0.243406,1105.94
0.246892,1124.17
0.257285,1160.65
0.264153,1166.8
0.274485,1185.1
0.281332,1185.18
0.284796,1197.35
0.295108,1209.59
0.305419,1221.84
0.319153,1234.12
0.329486,1252.43
0.346644,1264.75
0.356935,1270.94
0.367225,1277.12
0.387806,1289.49
0.40152,1295.71
0.415234,1301.94
0.425503,1302.06
0.44264,1308.33
0.463201,1314.63
0.483762,1320.94
0.497475,1327.16
0.518015,1327.41
0.538596,1339.779999
0.548866,1339.9
0.559136,1340.020001
0.565982,1340.1
0.583119,1346.37
0.596813,1346.529999
0.631066,1353
0.65505,1359.35
0.692727,1365.86
0.713267,1366.11
0.73723,1366.4
0.764616,1366.720001
0.764637,1372.780001
0.792043,1379.17
0.81943,1379.5
0.822875,1385.6
0.857107,1386.01
0.891381,1398.540001
0.915344,1398.83
0.918788,1404.93
0.956444,1405.38
0.966735,1411.56
0.966756,1417.63
0.980469,1423.85
0.990781,1436.09
0.994225,1442.2
