Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.003831,245.411
0.004887863,260.7
0.005746,280.193
0.006480225,310.4
0.006637632,318.6
0.007204856,344.6
0.007662,355.556
0.009205078,364.1
0.011492,371.014
0.013393309,377.9
0.018536751,394.8
0.02107,401.932
0.028731,419.324
0.049801,448.309
0.066803487,463
0.080447,473.43
0.099601,488.889
0.109178,494.686
0.120671,504.348
0.133720965,515.5
0.147487,527.536
0.160894,539.13
0.168556,546.86
0.178132,556.522
0.18771,566.184
0.197287,583.575
0.199488238,600.2
0.201118,614.493
0.204948,643.478
0.206864,660.87
0.208461689,678.2
0.210695,693.72
0.224103,699.517
0.268157,707.246
0.298803,709.179
0.33328,713.043
0.358181,716.908
0.402235,720.773
0.45012,724.638
0.503751,726.57
0.530567,728.502
0.555468,730.435
0.603353,730.435
0.655069,734.3
0.704869,736.232
0.735516,738.164
0.760417,738.164
0.806386,742.029
0.856187,742.029
0.904072,745.894
0.940464,747.826
0.999842,757.488
