Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.002546,85.6082
0.005092,238.784
0.006288706,261.9
0.007638,279.347
0.009022805,295.4
0.010183,306.397
0.012729,324.438
0.015275,342.478
0.017821,347.005
0.020367,378.559
0.022913,396.6
0.025459,410.136
0.028004,441.69
0.03055,459.731
0.033096,468.763
0.035642,477.794
0.038188,491.331
0.040734,504.867
0.045825,522.93
0.050917,559.011
0.053463,572.547
0.056009,581.579
0.058555,599.62
0.0611,640.183
0.063646,667.233
0.066192,676.264
0.068738,707.818
0.071284,730.364
0.07383,752.909
0.076376,811.49
0.078921,829.531
0.081467,852.076
0.084013,892.639
0.086559,906.175
0.091651,942.256
0.094197,960.297
0.096742,978.338
0.099288,991.874
0.101835,1000.91
0.10438,1014.44
0.106926,1027.98
0.112018,1041.54
0.114563,1059.58
0.119655,1086.65
0.122201,1091.18
0.124747,1104.71
0.127293,1118.25
0.129839,1127.28
0.132384,1136.31
0.13493,1154.35
0.137476,1167.89
0.142568,1181.45
0.145114,1190.48
0.150205,1204.04
0.152751,1208.57
0.155297,1222.1
0.160388,1231.16
0.162935,1244.69
0.165481,1253.72
0.168026,1262.76
0.173118,1285.32
0.175664,1294.35
0.178209,1307.89
0.180756,1321.43
0.183302,1334.96
0.185847,1348.5
0.188394,1362.06
0.190939,1371.04
0.193485,1411.63
0.19603,1452.19
0.198577,1524.29
0.201122,1542.33
0.203668,1564.87
0.206215,1578.41
0.20876,1591.95
0.211306,1609.99
0.213851,1628.03
0.216398,1641.56
0.218943,1650.6
0.224036,1664.15
0.226581,1673.19
0.231673,1700.26
0.234219,1713.79
0.23931,1722.85
0.241856,1727.38
0.25204,1736.48
0.259677,1741.05
0.264769,1750.1
0.269861,1754.65
0.272406,1754.67
0.277498,1759.22
0.282589,1763.77
0.285136,1763.8
0.290227,1763.84
0.297865,1768.41
0.30041,1772.94
0.308048,1773.01
0.310595,1777.54
0.315686,1777.58
0.320778,1782.13
0.325869,1782.18
0.330961,1782.22
0.34369,1786.84
0.351328,1791.41
0.35642,1791.46
0.364057,1796.03
0.369149,1796.07
0.376786,1796.14
0.381878,1800.69
0.38697,1800.74
0.402245,1800.87
0.407337,1800.92
0.412428,1800.96
0.425158,1801.08
0.432796,1805.65
0.440432,1805.72
0.455708,1810.36
0.465891,1810.45
0.488804,1815.16
0.501533,1819.77
0.511717,1819.87
0.516808,1819.91
0.524446,1824.48
0.529538,1824.53
0.537176,1824.6
0.542267,1824.64
0.549905,1824.71
0.560088,1824.8
0.570271,1824.89
0.580454,1829.49
0.593184,1834.1
0.600822,1834.17
0.611005,1834.26
0.623734,1834.37
0.631372,1838.95
0.636464,1838.99
0.654285,1843.66
0.661922,1843.72
0.672106,1843.81
0.687381,1843.95
0.689927,1843.97
0.702655,1848.59
0.710293,1848.66
0.715385,1848.7
0.733206,1848.86
0.735752,1848.88
0.745935,1848.97
0.753573,1849.04
0.763756,1849.13
0.768848,1849.18
0.77394,1853.73
0.779031,1853.77
0.784123,1853.82
0.796852,1853.93
0.81722,1854.11
0.832494,1858.75
0.840132,1858.82
0.847769,1858.89
0.863045,1863.53
0.868136,1863.57
0.87832,1863.67
0.885957,1863.73
0.903778,1863.89
0.957242,1868.87
0.964878,1868.94
0.987791,1873.65
0.992883,1878.2
